id, type, main_station, support_station, lat, lng, year, month, day_of_week, hour
1,0,n,,30.274863,120.070156,2020,12,3,17
2,1,a,,30.30371,120.159011,2020,12,3,16
3,2,x,,30.310456,120.28064,2020,12,3,13
4,3,f,,30.227132,120.190982,2020,12,3,11
5,4,r,,30.282406,120.056805,2020,12,3,10
6,2,C,,30.177457,120.213494,2020,12,3,8
7,5,E,,30.325382,120.107178,2020,12,3,7
8,2,l,,28.660385,115.900443,2020,12,2,18
9,2,x,,30.324204,120.25587,2020,12,2,16
10,3,a,,30.312298,120.144494,2020,12,2,12
11,3,F,t,30.116449,120.126025,2020,12,2,8
12,3,s,r,30.274623,120.115769,2020,12,2,8
13,3,e,,30.257631,120.171116,2020,12,1,13
14,6,p,,28.657595,115.877233,2020,12,1,8
15,7,E,,30.192311,120.094027,2020,12,0,21
16,3,r,,30.312106,120.092162,2020,12,0,20
17,8,i,,30.278014,120.184272,2020,12,0,2
18,9,E,,30.30602,120.064446,2020,12,6,21
19,2,B,,30.197292,120.201184,2020,12,6,17
20,3,a,,30.310169,120.151962,2020,12,6,9
21,10,E,,30.321334,120.085216,2020,12,5,19
22,3,F,,30.123406,120.104413,2020,12,5,18
23,11,e,fhp,30.23765,120.158768,2020,12,5,12
24,4,q,,30.232814,120.060273,2020,12,5,11
25,3,E,,28.650134,115.867433,2020,12,5,7
26,3,Not_found,f,30.251763,120.196654,2020,12,4,19
27,5,l,,30.244889,120.107692,2020,12,4,18
28,6,h,e,30.252718,120.185506,2020,12,4,12
29,11,a,,30.294166,120.146559,2020,12,3,22
30,4,q,,28.695845,115.864643,2020,12,3,16
31,11,a,,30.302786,120.137908,2020,12,3,10
32,3,x,,30.318168,120.248458,2020,12,3,4
33,12,F,,30.091174,120.047736,2020,12,2,20
34,3,a,,30.290478,120.147276,2020,12,2,7
35,2,B,,30.199334,120.221946,2020,12,1,22
36,10,F,,30.112378,120.122553,2020,12,1,17
37,13,e,,30.253349,120.165844,2020,12,0,22
38,3,h,,30.249159,120.173393,2020,12,0,16
39,2,B,,30.202415,120.193244,2020,12,0,8
40,3,e,,30.264109,120.166557,2020,12,6,21
41,12,i,,30.283664,120.157734,2020,12,6,19
42,0,e,,30.239581,120.169603,2020,12,6,14
43,14,Not_found,D,30.289315,120.241917,2020,12,6,14
44,3,s,,30.274616,120.116508,2020,12,6,9
45,15,F,,30.113087,120.12183,2020,12,5,14
46,3,s,pr,30.291357,120.107878,2020,12,5,13
47,2,B,,30.189246,120.219965,2020,12,5,11
48,3,x,,30.323695,120.262804,2020,12,5,6
49,8,r,,30.279125,120.057977,2020,12,5,6
50,3,A,,30.171959,120.165215,2020,12,4,20
51,3,x,,30.329931,120.261356,2020,12,4,18
52,2,C,,30.178143,120.190537,2020,12,4,17
53,3,q,,30.222267,120.061097,2020,12,4,16
54,3,i,,30.288943,120.161899,2020,12,4,15
55,2,C,,30.158151,120.181008,2020,12,4,1
56,3,s,,30.293019,120.122884,2020,12,3,22
57,3,t,,30.164479,120.068869,2020,12,2,19
58,3,f,,30.234107,120.200471,2020,12,2,18
59,2,B,C,30.185574,120.19608,2020,12,2,18
60,3,s,p,30.287028,120.121563,2020,12,2,14
61,2,B,,30.186534,120.192825,2020,12,2,13
62,2,C,,30.158091,120.183378,2020,12,2,12
63,5,t,,28.657595,115.877233,2020,12,1,21
64,3,a,,30.303233,120.1247,2020,12,1,21
65,3,F,,30.132521,120.038632,2020,12,1,14
66,7,b,,30.37172,120.13255,2020,12,1,14
67,3,j,,30.322558,120.193268,2020,12,1,10
68,7,b,,30.356831,120.175123,2020,12,1,9
69,3,i,,30.286239,120.160022,2020,12,0,22
70,14,j,i,30.327259,120.192757,2020,12,0,21
71,6,f,,30.239312,120.205697,2020,12,0,19
72,3,r,,30.271868,120.091358,2020,12,0,13
73,3,s,,30.273666,120.120246,2020,12,0,1
74,2,B,,30.21008,120.208049,2020,12,0,0
75,3,i,,30.288808,120.163696,2020,12,6,18
76,2,B,,30.194853,120.189668,2020,12,6,17
77,5,E,,30.321334,120.085216,2020,12,5,20
78,2,B,,30.202149,120.208865,2020,12,5,9
79,2,B,,30.194005,120.19580500000001,2020,12,4,22
80,16,p,s,28.672751,115.906547,2020,12,4,14
81,3,h,f,30.219172,120.176449,2020,12,3,23
82,3,E,,30.332501,120.076687,2020,12,3,21
83,13,s,r,30.27596,120.103451,2020,12,3,17
84,3,g,,30.211659,120.170858,2020,12,3,16
85,6,s,,30.291512,120.125801,2020,12,2,20
86,17,E,,30.288049,120.092789,2020,12,2,15
87,3,x,,30.3165,120.273783,2020,12,2,11
88,15,p,,30.2811,120.142092,2020,12,2,7
89,11,E,a,30.329518,120.119146,2020,12,1,23
90,3,x,,30.325248,120.256265,2020,12,1,9
91,3,t,gA,30.154147,120.084992,2020,12,1,9
92,13,E,,30.338024,120.125712,2020,12,0,19
93,2,B,,30.250287,120.215229,2020,12,0,14
94,2,B,,30.181143,120.210572,2020,12,0,14
95,3,E,,30.331239,120.115047,2020,12,0,14
96,7,E,,30.322884,120.067846,2020,12,0,5
97,8,s,,30.271334,120.10337,2020,12,6,21
98,2,B,,30.202415,120.193244,2020,12,6,18
99,6,s,,30.279303,120.120319,2020,12,6,17
100,2,B,,30.201111,120.205941,2020,12,6,13
101,2,M,,30.22493,120.231289,2020,12,6,11
102,3,e,h,30.253125,120.175453,2020,12,6,9
103,3,E,,30.330791,120.112971,2020,12,5,19
104,12,F,,30.113087,120.12183,2020,12,5,18
105,2,B,C,30.192283,120.196476,2020,12,5,18
106,17,f,hg,30.243869,120.165076,2020,12,5,18
107,2,B,C,30.191186,120.217667,2020,12,5,7
108,2,B,,30.197033,120.224322,2020,12,4,22
109,8,A,,30.18813,120.147254,2020,12,4,20
110,6,e,fhk,30.252822,120.17261,2020,12,4,14
111,16,F,,30.110057,120.097614,2020,12,4,8
112,3,s,r,30.276145,120.101123,2020,12,4,5
113,7,e,,30.251026,120.170369,2020,12,4,0
114,3,Not_found,k,30.264847,120.193502,2020,12,3,15
115,9,E,,30.326507,120.076776,2020,12,2,14
116,6,A,C,30.184168,120.160488,2020,12,2,8
117,2,B,,30.194853,120.189668,2020,12,2,5
118,3,x,,30.312941,120.284336,2020,12,2,5
119,3,s,,30.281365,120.1169,2020,12,1,22
120,7,i,,30.29582,120.169608,2020,12,1,13
121,18,x,,30.32591,120.257978,2020,12,1,4
122,4,p,,30.268484,120.147755,2020,11,0,15
123,3,t,,28.603507,115.912429,2020,11,0,15
124,7,r,,30.294971,120.097931,2020,11,6,22
125,3,s,p,30.276719,120.122748,2020,11,6,12
126,3,e,,30.241682,120.160433,2020,11,6,3
127,11,j,,30.353552,120.231732,2020,11,5,23
128,3,F,t,30.112029,120.065684,2020,11,5,14
129,3,A,,30.170988,120.161573,2020,11,5,8
130,8,F,t,30.090218,120.073825,2020,11,5,3
131,10,f,,30.245222,120.187285,2020,11,4,20
132,13,A,,30.161305,120.152568,2020,11,4,9
133,4,t,,30.131854,120.078392,2020,11,4,9
134,7,t,,30.155848,120.081201,2020,11,4,8
135,3,f,,30.233283,120.20576200000001,2020,11,3,18
136,3,j,b,30.35678,120.19838,2020,11,2,22
137,19,q,,30.185217,120.041997,2020,11,2,12
138,5,E,,30.312739,120.069643,2020,11,2,8
139,8,A,,30.158845,120.125623,2020,11,1,19
140,9,s,,30.284043,120.104019,2020,11,1,18
141,3,Not_found,f,30.268516,120.205186,2020,11,1,7
142,2,B,C,30.178051,120.189694,2020,11,0,21
143,15,E,,30.321334,120.085216,2020,11,0,21
144,5,f,,30.233289,120.206427,2020,11,0,16
145,8,r,,30.284479,120.083897,2020,11,0,14
146,3,q,,30.226339,120.047989,2020,11,0,13
147,17,e,,30.242289,120.163797,2020,11,0,13
148,6,h,e,30.239514,120.167402,2020,11,6,22
149,2,B,,30.202559,120.198316,2020,11,6,10
150,8,i,,30.291681,120.154662,2020,11,6,8
151,3,s,,30.269807,120.102895,2020,11,5,10
152,8,A,,30.211504,120.205277,2020,11,4,23
153,5,p,,30.268343,120.14531,2020,11,4,20
154,13,h,,30.224376,120.17506,2020,11,4,19
155,3,i,,30.278641,120.155595,2020,11,4,15
156,3,r,,30.28606,120.082605,2020,11,4,9
157,3,x,,30.313926,120.260385,2020,11,4,8
158,15,E,,28.657595,115.877233,2020,11,4,6
159,5,p,,30.272604,120.133429,2020,11,4,1
160,2,B,,30.214077,120.209875,2020,11,3,19
161,3,F,t,30.122003,120.151081,2020,11,3,10
162,3,s,,30.288447,120.127957,2020,11,3,8
163,9,s,r,30.283444,120.105426,2020,11,2,7
164,4,s,r,30.272401,120.103749,2020,11,2,6
165,2,B,,30.190793,120.222586,2020,11,2,0
166,8,x,,30.316617,120.587954,2020,11,1,22
167,2,C,,30.181613,120.196716,2020,11,1,21
168,3,x,,30.309618,120.266232,2020,11,1,19
169,3,t,F,30.163154,120.100601,2020,11,1,10
170,3,r,,30.271391,120.100119,2020,11,1,9
171,13,F,,30.1093,120.050778,2020,11,0,18
172,2,B,,30.204232,120.224776,2020,11,0,16
173,3,g,,30.207084,120.152647,2020,11,0,14
174,16,e,,30.252199,120.163703,2020,11,0,10
175,3,A,,30.17533,120.134488,2020,11,0,6
176,18,A,BC,30.181753,120.165838,2020,11,0,4
177,3,r,,30.303842,120.095925,2020,11,6,20
178,13,q,,30.240189,120.067358,2020,11,6,16
179,3,i,,30.290986,120.160437,2020,11,6,9
180,4,a,,30.313319,120.115346,2020,11,6,6
181,3,i,,30.287698,120.162626,2020,11,5,13
182,8,E,,30.318383,120.097547,2020,11,4,16
183,8,i,,30.247656,120.172109,2020,11,4,12
184,3,r,,30.311893,120.085548,2020,11,4,0
185,11,e,h,30.240295,120.169702,2020,11,4,0
186,7,t,,30.225948,120.047105,2020,11,3,19
187,3,b,,30.372555,120.132603,2020,11,3,17
188,3,i,,30.28868,120.170815,2020,11,3,14
189,3,r,E,30.313473,120.094793,2020,11,3,9
190,0,f,h,30.235384,120.201761,2020,11,3,4
191,20,E,,30.332755,120.082229,2020,11,3,2
192,7,E,,30.337828,120.058446,2020,11,3,0
193,5,a,,30.331294,120.131724,2020,11,2,19
194,5,E,,30.322884,120.067846,2020,11,2,14
195,8,j,,30.333249,120.17727,2020,11,2,8
196,5,p,,30.279635,120.148248,2020,11,2,0
197,3,x,,30.312022,120.285111,2020,11,1,23
198,3,A,,30.165502,120.158824,2020,11,1,18
199,7,b,,30.366818,120.146747,2020,11,1,17
200,3,e,,30.241883,120.167449,2020,11,1,17
201,21,h,e,30.246537,120.19437,2020,11,1,12
202,4,Not_found,xD,30.302652,120.255041,2020,11,0,23
203,3,Not_found,hk,30.261792,120.194166,2020,11,0,22
204,7,e,,28.657595,115.877233,2020,11,0,14
205,5,t,,30.167572,120.102331,2020,11,6,14
206,10,Not_found,D,30.289322,120.224277,2020,11,6,12
207,4,t,,30.138242,120.053263,2020,11,6,10
208,15,A,,30.16719,120.166612,2020,11,6,9
209,3,f,,30.232555,120.205246,2020,11,5,10
210,3,r,,30.31123,120.088305,2020,11,4,21
211,3,t,F,30.145123,120.065506,2020,11,4,16
212,4,r,s,30.281777,120.077876,2020,11,4,0
213,11,E,,30.332111,120.116863,2020,11,3,18
214,15,r,,30.273042,120.11046,2020,11,3,18
215,4,i,,30.295081,120.160071,2020,11,3,7
216,18,F,gqtA,30.109632,120.124557,2020,11,2,18
217,12,t,,28.657595,115.877233,2020,11,2,17
218,3,s,p,30.285682,120.128816,2020,11,2,15
219,2,B,,30.217129,120.223272,2020,11,2,14
220,2,B,,30.206014,120.200565,2020,11,2,11
221,3,A,,30.166743,120.164876,2020,11,1,17
222,20,q,,30.190381,120.0568,2020,11,1,16
223,8,h,fg,30.225208,120.17561,2020,11,1,3
224,8,i,,30.277476,120.178378,2020,11,0,5
225,4,E,,30.341021,120.09628,2020,11,6,19
226,3,E,,30.306463,120.173582,2020,11,6,8
227,8,A,,30.191133,120.167528,2020,10,5,21
228,20,F,,30.337647,120.054389,2020,10,5,10
229,9,r,,30.281487,120.095158,2020,10,5,5
230,11,A,,30.15902,120.150483,2020,10,4,23
231,2,B,,30.20312,120.185937,2020,10,4,23
232,11,A,,30.171256,120.166921,2020,10,4,19
233,15,x,,30.30608,120.21482,2020,10,4,12
234,16,F,t,30.115754,120.114744,2020,10,4,5
235,8,a,,30.299531,120.135508,2020,10,4,2
236,9,a,,30.293753,120.142839,2020,10,4,1
237,2,x,,30.323792,120.248384,2020,10,3,19
238,15,A,,30.15928,120.151038,2020,10,3,8
239,6,A,,30.175428,120.143148,2020,10,3,3
240,20,j,,30.232416,119.896933,2020,10,2,18
241,8,j,,30.348032,120.178548,2020,10,2,10
242,17,q,,30.227823,120.040378,2020,10,2,1
243,3,a,,30.31576,120.144936,2020,10,1,20
244,3,C,,30.165715,120.205629,2020,10,1,20
245,8,t,,30.150755,120.073107,2020,10,1,10
246,13,l,,28.660385,115.900443,2020,10,0,22
247,2,B,,30.217243,120.222726,2020,10,6,13
248,2,i,,30.301301,120.182091,2020,10,6,10
249,20,r,aE,30.332755,120.082229,2020,10,6,9
250,15,i,,30.287393,120.168727,2020,10,5,16
251,16,s,,28.672751,115.906547,2020,10,5,14
252,3,t,,30.154667,120.082314,2020,10,5,13
253,13,A,,30.156201,120.154826,2020,10,5,11
254,3,E,,30.338717,120.126723,2020,10,4,18
255,8,p,,30.325819,120.106902,2020,10,4,18
256,2,B,,30.213204,120.215071,2020,10,4,0
257,11,e,k,30.25898,120.176015,2020,10,3,23
258,3,A,,30.156032,120.147966,2020,10,3,18
259,12,e,,30.256583,120.160012,2020,10,2,21
260,2,F,,30.104919,120.089175,2020,10,2,20
261,20,E,,30.239011,120.063706,2020,10,2,18
262,20,r,,30.286573,120.057918,2020,10,2,14
263,2,F,,30.116935,120.126177,2020,10,2,7
264,3,b,,30.351279,120.151286,2020,10,2,2
265,3,f,,30.237188,120.200091,2020,10,2,1
266,3,E,,30.309852,120.074862,2020,10,1,18
267,2,B,,30.20474,120.208884,2020,10,0,20
268,3,s,,30.284911,120.116448,2020,10,6,13
269,7,D,,30.27062,120.217513,2020,10,6,3
270,2,B,,30.195252,120.214715,2020,10,5,20
271,3,p,i,30.274664,120.147367,2020,10,5,17
272,7,E,,30.309206,120.091737,2020,10,5,12
273,9,r,,30.27411,120.100902,2020,10,5,8
274,2,B,,30.195839,120.215994,2020,10,4,15
275,3,E,r,30.333667,120.060341,2020,10,4,11
276,3,h,,30.230651,120.169294,2020,10,4,4
277,3,A,B,30.189107,120.163904,2020,10,4,0
278,20,x,,30.317214,120.295752,2020,10,3,20
279,15,p,,30.286798,120.136697,2020,10,3,17
280,2,B,,30.171873,120.213027,2020,10,3,12
281,3,f,hg,30.226083,120.194167,2020,10,2,22
282,3,i,,30.297033,120.154759,2020,10,2,18
283,8,i,,30.275182,120.180611,2020,10,2,15
284,4,A,,30.158845,120.125623,2020,10,2,7
285,13,A,,30.165111,120.138548,2020,10,1,23
286,3,E,,28.657595,115.877233,2020,10,0,16
287,9,n,r,28.657595,115.877233,2020,10,6,22
288,13,x,,30.322511,120.260972,2020,10,6,21
289,3,a,,30.315786,120.145716,2020,10,6,12
290,9,s,,30.289287,120.101257,2020,10,5,17
291,3,j,,30.333681,120.202238,2020,10,5,14
292,3,E,,30.325358,120.067713,2020,10,5,10
293,3,E,,22.646302,113.302125,2020,10,5,6
294,3,s,,30.278418,120.117223,2020,10,4,21
295,4,h,,30.223952,120.173995,2020,10,4,6
296,22,q,,30.162036,120.078069,2020,10,3,15
297,3,h,e,30.249765,120.175208,2020,10,3,11
298,3,A,,30.17052,120.14651,2020,10,2,21
299,5,q,,30.264184,120.099908,2020,10,2,13
300,5,r,,30.298083,120.067974,2020,10,2,13
301,2,x,,30.325286,120.24516,2020,10,1,20
302,6,A,,30.161211,120.155271,2020,10,1,18
303,10,F,,30.140883,120.127715,2020,10,1,13
304,3,A,BC,30.171547,120.144173,2020,10,1,6
305,2,B,,30.186354,120.219875,2020,10,1,0
306,5,E,,30.306289,120.063005,2020,10,0,7
307,20,E,,28.675414,115.895105,2020,10,0,0
308,2,Not_found,j,30.343346,120.202843,2020,10,6,13
309,15,i,,30.285558,120.154762,2020,10,6,10
310,7,F,,30.110705,120.17061,2020,10,5,23
311,5,E,,30.330394,120.062224,2020,10,5,22
312,8,x,,30.296132,120.288966,2020,10,5,20
313,7,D,,30.294708,120.196778,2020,10,5,18
314,12,t,,30.200309,120.147633,2020,10,5,5
315,15,E,,30.326114,120.090719,2020,10,4,23
316,3,a,r,30.31801,120.131349,2020,10,4,21
317,10,f,,30.272002,120.200442,2020,10,4,16
318,16,s,,28.672751,115.906547,2020,10,4,12
319,3,q,,30.207717,120.015672,2020,10,3,22
320,7,E,,30.252186,120.161303,2020,10,3,22
321,5,q,,30.239324,120.120486,2020,10,3,18
322,2,B,,30.203405,120.203902,2020,10,3,18
323,15,p,,30.279395,120.130262,2020,10,3,15
324,2,E,,30.344986,120.039689,2020,9,2,19
325,3,r,,30.284221,120.05687,2020,9,1,23
326,7,f,,30.219791,120.180106,2020,9,1,22
327,4,D,,30.27793,120.235499,2020,9,1,14
328,4,D,,30.292467,120.219695,2020,9,1,0
329,2,B,,30.218926,120.223564,2020,9,0,15
330,15,t,,28.657595,115.877233,2020,9,0,5
331,9,t,,30.174319,120.069401,2020,9,6,12
332,1,i,k,22.5065,113.341344,2020,9,6,3
333,2,B,,30.195838,120.214807,2020,9,5,15
334,2,B,,30.20474,120.208884,2020,9,5,11
335,0,e,h,30.255861,120.161061,2020,9,5,4
336,8,q,,28.657595,115.877233,2020,9,4,19
337,3,x,,30.303635,120.283381,2020,9,3,19
338,8,j,,30.299154,120.166848,2020,9,3,16
339,3,E,,30.3328,120.090913,2020,9,3,15
340,3,a,i,30.290375,120.147758,2020,9,3,12
341,3,p,,30.258508,120.130736,2020,9,3,9
342,3,E,r,30.317106,120.076083,2020,9,2,19
343,2,B,,30.190793,120.222586,2020,9,2,2
344,12,i,,30.289695,120.153424,2020,9,1,19
345,3,f,,30.236798,120.186679,2020,9,1,15
346,3,f,g,30.222911,120.17698,2020,9,1,9
347,11,e,,30.263802,120.160736,2020,9,1,1
348,8,s,,30.290091,120.109177,2020,9,0,22
349,8,t,,30.155848,120.081201,2020,9,6,16
350,16,Not_found,x,30.28232,120.534019,2020,9,6,8
351,20,F,tA,28.657595,115.877233,2020,9,5,2
352,3,E,,30.325287,120.098898,2020,9,5,1
353,15,i,,30.282497,120.165149,2020,9,3,22
354,3,a,,30.316513,120.136344,2020,9,3,21
355,5,E,,30.349446,120.065098,2020,9,3,20
356,3,C,,30.180202,120.209211,2020,9,3,15
357,3,i,,30.28263,120.164027,2020,9,3,14
358,3,i,,30.29023,120.15814,2020,9,3,3
359,3,f,,30.233272,120.205409,2020,9,2,23
360,3,i,,30.282024,120.16456,2020,9,2,21
361,6,E,asr,30.312641,120.068511,2020,9,1,16
362,3,s,,30.29198,120.127629,2020,9,1,6
363,11,A,,30.153894,120.152771,2020,9,0,16
364,3,s,,30.280298,120.109897,2020,9,0,14
365,23,C,,30.156411,120.187152,2020,9,0,0
366,21,h,,30.219083,120.168709,2020,9,6,16
367,10,r,,30.307394,120.097801,2020,9,6,14
368,8,k,e,30.26922,120.170202,2020,9,5,15
369,6,i,,30.280123,120.162469,2020,9,5,11
370,3,f,,30.239228,120.195409,2020,9,5,11
371,16,A,B,30.188499,120.148402,2020,9,4,21
372,3,i,,30.289489,120.15039,2020,9,4,20
373,3,q,,30.210633,120.017182,2020,9,4,11
374,8,x,,30.320669,120.25966,2020,9,3,20
375,8,p,,30.305944,120.246474,2020,9,3,19
376,8,E,,28.698639,115.913089,2020,9,3,17
377,3,t,,30.140901,120.074741,2020,9,3,15
378,3,f,,30.239228,120.195409,2020,9,3,13
379,3,s,r,30.278758,120.107274,2020,9,3,12
380,4,j,,30.313473,120.177475,2020,9,3,3
381,10,q,,28.630022,115.85384,2020,9,2,20
382,3,x,,30.326225,120.259156,2020,9,2,20
383,2,F,,30.125496,120.059991,2020,9,2,18
384,15,x,,30.271973,120.489064,2020,9,2,12
385,20,f,,30.234427,120.196018,2020,9,2,11
386,11,s,,30.280669,120.114304,2020,9,1,23
387,1,i,,30.296287,120.153241,2020,9,1,1
388,3,x,,30.30687,120.28016,2020,9,0,22
389,20,j,,30.365032,120.232067,2020,9,0,20
390,2,B,C,30.20617,120.223657,2020,9,0,18
391,13,b,a,30.331856,120.140015,2020,9,0,15
392,3,s,,30.284313,120.124482,2020,9,0,8
393,12,f,,30.235695,120.1792,2020,9,6,21
394,3,x,,30.323572,120.263073,2020,9,6,20
395,3,a,,30.306193,120.153936,2020,9,6,13
396,3,j,,30.308887,120.185183,2020,9,5,21
397,3,x,,30.321123,120.243043,2020,9,5,21
398,7,r,,30.305749,120.09497,2020,9,5,18
399,2,l,,30.235503,120.117687,2020,9,4,19
400,3,s,,30.269807,120.102895,2020,9,4,17
401,3,x,,30.311336,120.268766,2020,9,4,10
402,6,E,,30.316454,120.080116,2020,9,3,13
403,3,h,,30.25145,120.185362,2020,9,3,8
404,10,a,,30.313522,120.12768,2020,9,2,20
405,4,a,,30.329787,120.124485,2020,9,2,20
406,13,l,,30.23926,120.120469,2020,9,2,20
407,2,a,,30.316688,120.140364,2020,9,2,18
408,0,j,,30.328569,120.177369,2020,9,2,14
409,3,a,,30.327261,120.136782,2020,9,2,12
410,3,a,,30.301427,120.158414,2020,9,2,9
411,3,i,,30.282986,120.170117,2020,9,2,0
412,3,b,,30.33379,120.150573,2020,9,1,13
413,3,h,,30.237048,120.169896,2020,9,1,9
414,3,a,,30.322631,120.142071,2020,9,1,9
415,3,a,,30.305107,120.110171,2020,9,1,0
416,15,s,,30.28483,120.119186,2020,8,0,22
417,3,E,,30.332747,120.092339,2020,8,0,17
418,2,B,,30.198061,120.199388,2020,8,0,16
419,3,Not_found,i,30.284169,120.198439,2020,8,0,15
420,3,r,s,30.295949,120.095206,2020,8,0,8
421,6,a,,30.330066,120.12546,2020,8,0,8
422,13,p,,30.279243,120.147944,2020,8,0,1
423,15,p,,30.265696,120.14512,2020,8,6,19
424,3,h,,30.230814,120.173349,2020,8,6,17
425,3,r,,30.285725,120.081559,2020,8,6,12
426,4,r,,30.278104,120.096294,2020,8,6,9
427,3,a,,30.307735,120.158501,2020,8,5,20
428,3,x,,30.328395,120.24961,2020,8,5,18
429,3,a,,30.305521,120.135611,2020,8,5,17
430,3,E,,30.329809,120.066552,2020,8,5,16
431,7,F,,28.68027,115.89619,2020,8,4,21
432,6,a,,30.319864,120.125969,2020,8,4,20
433,7,r,,28.657595,115.877233,2020,8,4,18
434,4,a,,30.299345,120.142762,2020,8,4,16
435,3,p,,30.269816,120.148254,2020,8,4,12
436,3,s,r,30.274899,120.106391,2020,8,4,7
437,15,A,,30.173704,120.139502,2020,8,4,1
438,3,i,,30.28252,120.15455,2020,8,3,18
439,15,i,,30.284414,120.159621,2020,8,3,18
440,2,C,,30.174524,120.16797,2020,8,3,15
441,20,t,F,30.239087,120.053598,2020,8,2,23
442,7,E,,30.341021,120.09628,2020,8,2,21
443,12,g,,30.208646,120.167446,2020,8,2,18
444,11,E,,28.635306,121.416868,2020,8,2,17
445,2,B,,30.19346,120.164518,2020,8,2,14
446,8,k,,30.268565,120.18029,2020,8,2,12
447,2,B,C,30.204201,120.226785,2020,8,2,11
448,8,t,,28.667143,115.904098,2020,8,2,11
449,7,j,,30.342681,120.181293,2020,8,1,19
450,13,j,,30.341672,120.192285,2020,8,1,18
451,13,x,,30.316735,120.281957,2020,8,1,14
452,8,h,,30.256028,120.185328,2020,8,1,10
453,13,A,,30.154022,120.1523,2020,8,1,9
454,8,q,,30.294163,120.096104,2020,8,1,7
455,2,B,,30.196878,120.215707,2020,8,0,12
456,24,F,,30.11433,120.13617,2020,8,0,11
457,8,r,,30.280577,120.086959,2020,8,0,9
458,3,s,r,30.281122,120.106745,2020,8,0,1
459,3,a,,30.296995,120.125984,2020,8,6,22
460,3,x,,28.25714,112.979235,2020,8,6,19
461,4,a,,30.299598,120.143158,2020,8,6,14
462,15,Not_found,f,30.241767,120.216758,2020,8,5,20
463,4,j,,30.322968,120.19134,2020,8,5,14
464,13,s,,30.282356,120.115818,2020,8,5,11
465,25,p,,30.270426,120.154018,2020,8,5,9
466,10,E,,30.319737,120.028854,2020,8,5,7
467,3,j,,30.346952,120.20533,2020,8,5,1
468,0,l,,30.219415,120.130322,2020,8,4,15
469,13,r,,30.284486,120.064253,2020,8,4,14
470,20,N,,30.112378,120.122553,2020,8,4,12
471,15,i,,30.280765,120.153281,2020,8,4,3
472,3,e,k,30.267743,120.163044,2020,8,4,1
473,3,a,,30.318,120.145,2020,8,3,23
474,15,j,,30.331549,120.186314,2020,8,3,21
475,3,j,,30.370937,120.232567,2020,8,3,19
476,2,B,,30.18675,120.196275,2020,8,3,19
477,3,j,,30.36118,120.211357,2020,8,3,15
478,2,B,,30.198073,120.185449,2020,8,3,12
479,7,i,,30.280765,120.153281,2020,8,3,9
480,2,E,,30.255933,120.08935,2020,8,3,8
481,8,N,,30.102286,120.172324,2020,8,2,22
482,13,A,,30.187761,120.167371,2020,8,2,18
483,5,p,,28.657595,115.877233,2020,8,2,18
484,10,a,,30.29963,120.137641,2020,8,2,12
485,20,q,J,30.185194,120.056731,2020,8,2,10
486,16,s,,30.281241,120.124602,2020,8,2,9
487,3,r,,30.282553,120.05558,2020,8,2,2
488,7,p,,30.270088,120.160214,2020,8,1,22
489,3,a,,30.31791,120.105335,2020,8,1,21
490,3,g,,30.20821,120.162653,2020,8,1,20
491,15,i,,30.288522,120.151167,2020,8,1,20
492,7,F,,30.123228,120.13330500000001,2020,8,1,18
493,15,s,,30.284508,120.117772,2020,8,1,12
494,8,a,E,30.320591,120.119203,2020,8,1,1
495,2,B,C,30.19009,120.196629,2020,8,1,1
496,10,t,,28.663647,115.909919,2020,8,0,21
497,16,r,,28.672751,115.906547,2020,8,0,19
498,7,s,,30.334182,120.106912,2020,8,0,17
499,4,b,,30.372147,120.157778,2020,8,0,16
500,13,E,,30.337351,120.122432,2020,8,0,15
501,2,B,,30.184937,120.147819,2020,8,0,15
502,7,b,,30.370775,120.146466,2020,8,6,22
503,2,B,C,30.189457,120.227033,2020,8,6,14
504,3,h,,30.235535,120.169809,2020,8,6,12
505,8,F,t,30.122966,120.041407,2020,8,6,8
506,26,q,,32.443817,119.395258,2020,8,6,4
507,4,a,,30.314564,120.114231,2020,8,5,9
508,6,a,,30.293782,120.146687,2020,8,5,8
509,3,x,,30.31561,120.273353,2020,8,5,1
510,4,i,,30.283174,120.179368,2020,8,5,0
511,3,s,,28.657595,115.877233,2020,8,4,23
512,3,f,,30.234645,120.200051,2020,8,4,23
513,15,i,,30.276092,120.167579,2020,8,4,22
514,27,q,,30.218984,120.024421,2020,8,4,16
515,3,a,,30.296814,120.141576,2020,8,4,16
516,15,q,,30.20498,120.069951,2020,8,4,14
517,11,e,h,30.255078,120.164701,2020,8,4,8
518,1,a,,30.302603,120.126523,2020,8,4,1
519,7,C,,30.160963,120.203325,2020,8,3,22
520,8,x,,30.307846,120.266507,2020,8,3,20
521,15,p,,30.271276,120.147107,2020,8,3,20
522,2,B,,30.178051,120.189694,2020,8,3,19
523,14,t,,30.178893,120.068049,2020,8,3,18
524,2,B,,30.216847,120.223489,2020,8,3,18
525,3,e,h,30.255951,120.176105,2020,8,3,17
526,15,F,,30.122296,120.158806,2020,8,3,15
527,3,a,,30.302435,120.136055,2020,8,3,11
528,9,D,,30.268957,120.227374,2020,8,3,8
529,3,x,,30.31662,120.249447,2020,8,3,4
530,2,B,,30.181143,120.210572,2020,8,2,23
531,3,D,,30.271949,120.230347,2020,8,2,22
